ID,furnace,role,Description,UoM,pass
01TI1119A.PV,1HA,tube_COT,,,C
01TI1146A.PV,1HA,tube_COT,,,D
01TI2119A.PV,1HB,tube_COT,H-B TUBE CUR COT 119,DEGC,C
01TI2152A.PV,1HB,tube_COT,,,D
01TI2154A.PV,1HB,tube_COT,,,D
01TI2172A.PV,1HB,tube_COT,H-B TUBE CUR COT 172,DEGC,D
01TI2178A.PV,1HB,tube_COT,,,D
01TI3024A.PV,1HC,tube_COT,,,A
01TI3033A.PV,1HC,tube_COT,,,A
01TI3041A.PV,1HC,tube_COT,H-C TUBE CUR COT 041,DEGC,A
01TI3116A.PV,1HC,tube_COT,,,C
01TI3119A.PV,1HC,tube_COT,,,C
01TI3123A.PV,1HC,tube_COT,,,C
01TI3145A.PV,1HC,tube_COT,,,D
01TI3147A.PV,1HC,tube_COT,,,D
01TI3154A.PV,1HC,tube_COT,H-C TUBE CUR COT 154,DEGC,D
01TI1024A.PV,1HA,tube_COT,H-A TUBE CUR COT 024,DEGC,A
01TI1033A.PV,1HA,tube_COT,,,A
01TI1039A.PV,1HA,tube_COT,,,A
01TI1048A.PV,1HA,tube_COT,,,A
01TI1049A.PV,1HA,tube_COT,,,B
01TI1076A.PV,1HA,tube_COT,,,B
01TI1080A.PV,1HA,tube_COT,,,B
01TI1085A.PV,1HA,tube_COT,,,B
01TI1112A.PV,1HA,tube_COT,,,C
01TI1122A.PV,1HA,tube_COT,,,C
01TI1126A.PV,1HA,tube_COT,,,C
01TI1137A.PV,1HA,tube_COT,,,C
01TI1150A.PV,1HA,tube_COT,,,D
01TI1159A.PV,1HA,tube_COT,,,D
01TI2030A.PV,1HB,tube_COT,,,A
01TI2039A.PV,1HB,tube_COT,,,A
01TI2051A.PV,1HB,tube_COT,,,B
01TI2057A.PV,1HB,tube_COT,,,B
01TI2070A.PV,1HB,tube_COT,,,B
01TI2081A.PV,1HB,tube_COT,,,B
01TI2091A.PV,1HB,tube_COT,,,B
01TI2102A.PV,1HB,tube_COT,,,C
01TI2107A.PV,1HB,tube_COT,,,C
01TI2125A.PV,1HB,tube_COT,,,C
01TI2134A.PV,1HB,tube_COT,,,C
01TI2147A.PV,1HB,tube_COT,,,D
01TI2160A.PV,1HB,tube_COT,,,D
01TI2182A.PV,1HB,tube_COT,,,D
01TI3008A.PV,1HC,tube_COT,,,A
01TI3014A.PV,1HC,tube_COT,,,A
01TI3030A.PV,1HC,tube_COT,,,A
01TI3038A.PV,1HC,tube_COT,,,A
01TI3050A.PV,1HC,tube_COT,,,B
01TI3051A.PV,1HC,tube_COT,,,B
01TI3098A.PV,1HC,tube_COT,H-C TUBE CUR COT 098,DEGC,C
01TI3132A.PV,1HC,tube_COT,,,C
01TI3134A.PV,1HC,tube_COT,,,C
01TI1027A.PV,1HA,tube_COT,,DEGC,A
01TI1050A.PV,1HA,tube_COT,,,B
01TI1099A.PV,1HA,tube_COT,,,C
01TI1129A.PV,1HA,tube_COT,,,C
01TI1139A.PV,1HA,tube_COT,,,C
01TI1154A.PV,1HA,tube_COT,,,D
01TI1175A.PV,1HA,tube_COT,,,D
01TI2073A.PV,1HB,tube_COT,,,B
01TI2096A.PV,1HB,tube_COT,,,B
01TI2108A.PV,1HB,tube_COT,,,C
01TI2128A.PV,1HB,tube_COT,,,C
01TI2144A.PV,1HB,tube_COT,,,C
01TI2148A.PV,1HB,tube_COT,,,D
01TI2153A.PV,1HB,tube_COT,,,D
01TI2159A.PV,1HB,tube_COT,,,D
01TI2167A.PV,1HB,tube_COT,,,D
01TI3001A.PV,1HC,tube_COT,,,A
01TI3009A.PV,1HC,tube_COT,,,A
01TI3011A.PV,1HC,tube_COT,,,A
01TI3020A.PV,1HC,tube_COT,,,A
01TI3064A.PV,1HC,tube_COT,,,B
01TI3090A.PV,1HC,tube_COT,,,B
01TI3099A.PV,1HC,tube_COT,,DEGC,C
01TI3114A.PV,1HC,tube_COT,,,C
01TI3122A.PV,1HC,tube_COT,,,C
01TI3133A.PV,1HC,tube_COT,,,C
01TI3135A.PV,1HC,tube_COT,,,C
01TI1042A.PV,1HA,tube_COT,,,A
01TI1056A.PV,1HA,tube_COT,,,B
01TI1097A.PV,1HA,tube_COT,,,C
01TI1102A.PV,1HA,tube_COT,,,C
01TI1121A.PV,1HA,tube_COT,,,C
01TI1155A.PV,1HA,tube_COT,,,D
01TI1164A.PV,1HA,tube_COT,,,D
01TI1185A.PV,1HA,tube_COT,,,D
01TI2001A.PV,1HB,tube_COT,H-B TUBE CUR COT 001,DEGC,A
01TI2040A.PV,1HB,tube_COT,,,A
01TI2045A.PV,1HB,tube_COT,,,A
01TI2047A.PV,1HB,tube_COT,,,A
01TI2061A.PV,1HB,tube_COT,H-B TUBE CUR COT 061,DEGC,B
01TI2064A.PV,1HB,tube_COT,,,B
01TI2065A.PV,1HB,tube_COT,,,B
01TI2103A.PV,1HB,tube_COT,,,C
01TI2113A.PV,1HB,tube_COT,H-B TUBE CUR COT 113,DEGC,C
01TI2138A.PV,1HB,tube_COT,,,C
01TI2157A.PV,1HB,tube_COT,,,D
01TI3018A.PV,1HC,tube_COT,,,A
01TI3052A.PV,1HC,tube_COT,,,B
01TI3070A.PV,1HC,tube_COT,,,B
01TI3078A.PV,1HC,tube_COT,,,B
01TI3088A.PV,1HC,tube_COT,,,B
01TI3092A.PV,1HC,tube_COT,H-C TUBE CUR COT 092,DEGC,B
01TI3093A.PV,1HC,tube_COT,H-C TUBE CUR COT 093,DEGC,B
01TI3117A.PV,1HC,tube_COT,,,C
01TI3131A.PV,1HC,tube_COT,,,C
01TI3146A.PV,1HC,tube_COT,,,D
01TI1025A.PV,1HA,tube_COT,H-A TUBE CUR COT 025,DEGC,A
01TI1035A.PV,1HA,tube_COT,,,A
01TI1037A.PV,1HA,tube_COT,,,A
01TI1054A.PV,1HA,tube_COT,,,B
01TI1059A.PV,1HA,tube_COT,,,B
01TI1067A.PV,1HA,tube_COT,,,B
01TI1077A.PV,1HA,tube_COT,,,B
01TI1079A.PV,1HA,tube_COT,,,B
01TI1086A.PV,1HA,tube_COT,,,B
01TI1100A.PV,1HA,tube_COT,,,C
01TI1173A.PV,1HA,tube_COT,,,D
01TI1174A.PV,1HA,tube_COT,,,D
01TI1187A.PV,1HA,tube_COT,,,D
01TI2003A.PV,1HB,tube_COT,H-B TUBE CUR COT 003,DEGC,A
01TI2036A.PV,1HB,tube_COT,,,A
01TI2043A.PV,1HB,tube_COT,,,A
01TI2048A.PV,1HB,tube_COT,,,A
